Repository Name,ShortName,Type of Repository,lat,long,Contact Person,Secondary Contact Person,Primary Email Address,Seconday Email Address,Building,Street Address,City,Zip Code,Primary Phone Number,Secondary Phone Number,Q3 Does your repository accept new collections?,Q3 What is your basis for accepting archaeological collections?,Q4 Are the collections available to the public or for research to others outside the institution? ,Q5 When are they available?,Q6 Which collections do you believe contribute to important research about Virginia's history?,"Q6 Which collections do you highlight to donors, legislators, researchers, or the public?",Q7 How many archaeological collections do you have?,Comments
Cape Charles Museum and Welcome Center,Cape Charles Historical Society,Private,37.267916,-76.017434,Marion Naar,N/A,ccmuseum@hughes.net,N/A,,P.O. Box 11,Cape Charles,23310-2763,757-331-1008,757-442-2821,Y,Pertinent to local history,"Yes, Research",By appointment,Old photographs,,2,
Madison County Historical Society/Madison Arcade,Madison County Historical Society,Local Jurisdiction,38.3804062,-78.2575035,Carol Nash- James Madison University,Beppy White,nashcl@jmu.edu,beppy.white@gmail.com,Madison County Historical Society,P.O. Box 467,Madison,22727,,540-718-5328 (m),,,"Yes, Research",By appointment with Carol Nash,The Strode Collection,,2,
Wilderness Road Regional Museum,Wilderness Road Regional Museum,Private,37.562524,-77.519615,Tami Ramsey- Director,N/A,N/A,N/A,,5240 Wilderness Road/P.O. Box 373,Newbern,24126,540-674-4835,N/A,,,,,,,2,
Gloucester County,Gloucester County,Local Jurisdiction,37.4157,-76.5326,Georgette N. Hurley- Assistant County Administrator,N/A,ghurley@gloucester.info,N/A,Gloucester County Administrator's Office,P.O. Box 329,Gloucester,23061,804-693-4042,N/A,Y,Any requests are evaluated on a case-by-case basis,Yes,By appointment,Many of the collections have significant research potential- including artifacts from the Debtor's Jail and other projects around the historic courthouse- the Free School Excavation- the Gloucester Town dump- and the Owl Trap collection.  In addition- they could be of greater use in answering research questions related to the development of colonial towns and courthouse villages- 19th-century rural lifeways and mortuary information- and the introduction of Methodism (Owl Trap) to Virginia,,3,
Stratford Hall Plantation,Stratford Hall Plantation,Private,38.148,-76.8431,Judy Hynson- Director of Research and Library Collections,Gretchen Goodell- Curator,jshynson@stratfordhall.org,ggoodell@stratfordhall.org,,483 Great House Road,Stratford,22558,804-493-8038 x8572 (Judy),804-493-8038 x8910 (Gretchen),Y,Based on the collection policy in CMP,"Yes, Research",By appointment,"The artifact collection from the 17th century Clifts ""Manner House"" has contributed much information about the social history on the early Northern Neck settlers.  Artifacts from Stratford's Orchard Site (ST116)- which contained a late 18th-century earthfast slave dwelling- have been entered into the DAACS database.  We are seeking funding for putting the artifact collection from the ongoing excavation of the Oval Site into DAACS; this is a domestic complex of mostly earthfast structures (4 so far) that may possibly include a dwelling- barn- and associated quarter.  We highlight these three because they provide us with information about the enslaved and other working occupants of the plantation who were not as well represented in the documentary records of the Lee owners",,3,
Historic Hopewell Foundation Inc (HHFI),"Historic Hopewell Foundation, Inc",Private,37.314103,-77.275837,Shirley Belkowitz,N/A,sbelkowitz@verizon.net,N/A,,603 Brown Ave,Hopewell,23860,804-458-7775,N/A,Uncertain,N/A,N,Not at all,Uncertain of any significance,,3,
Newton History Center of The Stone House Foundation,Newton History Center of The Stone House Foundation,Private,39.082816,-78.218311,Byron Smith- Director/Curator,Wayne Eldred- Collections and Programs Manager,bcsmith@newtonhistorycenter.org,info@newtonhistorycenter.org,Newton History Center of The Stone House Foundation,P.O. Box 143/5408 Main Street,Stephens City,22655-0143,540-869-1700,N/A,Y ,Donation- Museum Purchase,"Yes, Research",By appointment,Wagons- diaries- newspaper- furniture- fine craftsmanship and cottage industry before railroad and mass production,,3,
Museum of Culpeper History,Museum of Culpeper History,Private,38.468626,-77.997836,Lee Langston-Harrison- Executive Director,N/A,director@culpepermuseum.com,contact@culpepermuseum.com,Museum of Culpeper History,803 South Main Street/P.O. Box 951,Culpeper,22701,540-829-1749 (museum),540-829-5954 (o),Y,Relates to Culpeper or its immediate region; has some relation to the present theme of study (i.e. 150th anniversary of the American Civil War),"Yes, Research",By appointment,We had objects that relate to many themes relating to Culpeper: Dinosaurs- Native Americans (projectile points- tools- weapons- etc.)- natural history (fossils- shark's teeth)- material culture items such as weapons- textiles- tools- medical implements- art- photograph.  African-American items relating to slavery- emancipation- freedmen- agriculture- Jim Crow laws- prominent blacks in Culpeper.  Our Civil War collection was the initial acquisition (1975+); we have many objects and memorabilia relating to Culpeper's role in the war.,,3,
Sweet Briar College,Sweet Briar College,University,37.557648,-79.082864,Keith Adams,,kadams@sbc.edu,,,134 Chapel Road,Sweet Briar,24595,434 381 6100,,n,,Yes,by appointment,,,3,
Historic Smithfield Plantation,Historic Smithfield Plantation,Private,36.9821,-76.6311,Laura Wedin,W. David McKissack- Director,lwedin@vt.edu,,,100 Smithfield Plantation Road,Blacksburg,24060,540-231-3947,N/A,,,,,,,3,
Carlyle House Historic Park,Carlyle House Historic Park,Local Jurisdiction,38.805209,-77.041816,Sarah Coster- Park Manager (former Curator),N/A,Carlyle@NVRPA.org,N/A,Carlyle House Historic Park,121 N. Fairfax Street,Alexandria,22314,703-549-2997,N/A,Y,Materials excavated on property,"Yes, Research",By appointment,44AX3C,,4,
Mariners' Museum,Mariners Museum,Private,37.042,-76.4882,Jeanne Willoz-Egnor,N/A,jegnor@marinersmuseum.org,collections@MarinersMuseum.com,,100 Museums Drive,Newport News,23606-3759,757-591-7764,N/A,Y,New materials recovered from the Monitor National Marine Sanctuary are added to the collection,Yes,By appointment,Both of the archaeological collections we maintain have significant bearing on Virginia history.  The Ronson ship is the only surviving example of a vessel built in colonial Virginia.  Unfortunately- while the bow is stable it is not in a form that is easily viewable nor is it in an area where it can be easily brought to the attention of the public.  The USS Monitor Collection is tangentially related to Virginia History (the famous battle of Hampton Roads- the first naval battle fought between ironclad ships- occurred in Virginia) ,The USS Monitor Collection is consistently highlighted to donors- researchers- the general public- and legislators,4,The Museum also holds a number of items that were salvaged from the York River in the 1930s.  There aren't any associated archaeological records.
Red Hill,Red Hill,Private,37.032222,-78.898056,Karen Gorham,Gene Dixon- Jr.- President,,N/A,,1250 Red Hill Road,Brookneal,24528-3302,800-514-7463,434-376-2044,N,N/A,Yes,By appointment,All,All,5,Many reports of investigations since 2000 w/art collections- 1 cataloged collection~2001-2002- 1960s report
Gunston Hall Plantation,Gunston Hall Plantation,Other State Agency,38.6705128,-77.166069,Dave Shonyo- Assistant Archaeologist,,archaeology@gunstonhall.org,,Gunston Hall,10709 Gunston Road,Mason Neck,22079,703-550-9220,,Y,Only material excavated at Gunston Hall,"Yes, Research",Case-by-case basis,Gunston Hall- also has a large collection of archival material and historic objects- as well as mid-18th century mansion which belonged to one of the founding fathers sitting on 55 acres of the original plantation.,,5,
George Washington Foundation- Ferry Farm,George Washington Foundation,Private,38.2938314,-77.4480968,Melanie Marquis,N/A,healy-marquis@gwffoundation.org,N/A,,268 Kings Highway,Fredericksburg,22405,540-370-0732 x14,N/A,N,N/A,"Yes, Research",At all times- appointment preferred,All artifacts in the collection have research potential- we highlight prehistoric- early colonial- Washington Family- Civil War- and commemorative artifacts,,6,
Monticello,Monticello,Private,37.969818,-78.409709,Karen Smith,N/A,ksmith@monticello.org,N/A,Thomas Jefferson Foundation,P.O. Box 316,Charlottesville,22902,434-984-9871,N/A,Y,Collections made during fieldwork at Monticello or on other properties owned by the Thomas Jefferson Foundation,"Yes, Research",By appointment,We have three groups that are probably more historically significant than our others.  First- we have a robust archaeological collection from Mulberry Row- a street of workshops and houses for enslaved and free laborers- artisans- and domestics.  This collections spans the entire period of Monticello's operation and beyond.  Second- we have a growing collection from enslaved and overseer domestic sites located near the agricultural fields of Monticello Plantation. Third- we house the entire archaeological collection from Shadwell- Thomas Jefferson's child home and a quarter farm during the operation of Monticello Plantation.,,6,DAACS and Monticello collections
Virginia Archaeological Resource Center of the ASV (also Kittiewan Chapter),Virginia Archaeological Resource Center of the ASV (also Kittiewan Chapter),ASV,37.3236956,-77.049426,Harry Jaeger,Martha Williams,snafu.manor@verizon.net,mwilliamslonomo@aol.com,,P.O. Box 70395,Henrico,23225,804-273-9291,252-426-734,Y,At present- consensus of ASV Board of Directors (pending re-establishment of ASV Collections Committee),Yes,By appointment,Significance of most collections remains undetermined at this time.,,8,
Manassas Museum System,Manassas Museum System,Local Jurisdiction,38.748469,-77.471809,Roxana Adams- Museum Curator,N/A,radams@ci.manassas.va.us,N/A,Manassas Museum System,9101 Prince William Street,Manassas,20110,703-257-8452,N/A,Y,Must be relevant to scope of collection.  For archaeology- no unscientifically excavated materials,N,Not at all,,Historical collections for Manassas and Prince William County History- Civil War collections for national audience- Archives of Civil War material and local material and VDHR surveys for general researchers and historic preservationists- For teachers- highlight subjects in SOL related topics- Do not highlight any archaeological collections,8,
Jamestown Rediscovery Preservation Virginia,Jamestown Rediscovery Preservation Virginia,Private,37.2112563,-76.7772486,Bly Straube- Senior Archaeological Curator,N/A,bstraube@preservationvirginia.org,N/A,Historic Jamestowne,1365 Colonial Parkway,Jamestown,23081,757-229-4997,N/A,,,Yes,By appointment on a case-by-case basis,,,10,
Montpelier Foundation,Montpelier Foundation,Private,38.228432,-78.178604,Matt Reeves,N/A,mreeves@montpelier.org,N/A,James Madison's Montpelier,P.O. Box 67/13384 Laundry Road,Montpelier Station,22957,540-672-2728 x160,N/A,Y,Objects excavated form the property- collections donated by relic hunters who frequented the property in pre-Trust days (pre 1984),Yes,At all times,Madison-era occupation of Montpelier including slave sites- midden deposits from the two generations of Madison tables- and the extensive collection of objects from our Civil War sites,,12,
Isle of Wight County Museum,Isle of Wight County Museum,Local Jurisdiction,36.9821,-76.6311,Tracey Neikirk- Curator,,tneikirk@isleofwightus@net,jwilliams@isleofwightus.net,,103 Main Street,Smithfield,23430,757-356-1014,N/A,Y,How they relate to the mission of the museum,"Yes, Research",By appointment,The Basse's Choice collection is the most thoroughly researched and cataloged.  The story as it relates to the early settlement of the James River region and is of great interest to the public and historians.,,12,
"Historic Services Department, City of Newport News","Historic Services Department, City of Newport News",Local Jurisdiction,37.0193649,-76.4536466,Aaron Lamb,N/A,alamb@nngov.com,N/A,,9285 Warwick Blvd.,Newport News,23607,757-532-0022 (o),N/A,Y,Depends on historical as well as local significance.  Condition and size do play a part in the decision,Yes,By appointment,We feel every artifact has the potential to contribute to the history of the area.  Our archaeological collections for the Historic Houses of Lee Hall and Endview are the most expansive.  We house the artifacts from the archaeological investigations at Warwicktowne (44NN69- 44NN278),,15,
Thomas Jefferson's Poplar Forest,Poplar Forest,Private,37.3638,-79.2897,Lori Lee,N/A,lori@poplarforest.org,N/A,The Corporation for Jefferson's Poplar Forest,P.O. Box 419,Forest,24551-0419,434-534-8104,N/A,N,N/A,"Yes, Research",By appointment,All periods and all types of sites,Jefferson period landscape- public-mostly Jefferson period including slavery,22,
Loudoun County,Loudoun County,Local Jurisdiction,39.1138197,-77.56202,Michael Clem,N/A,michael.clem@loudoun.gov,N/A,Department of Building & Development,1 Harrison Street,Leesburg,20177-7000,703-737-8862 (w),N/A,N,N/A,"Yes, Research",By appointment,All of these collections have research potential. Many contain slave related artifacts-some prehistoric artifacts from important sites,,25,
Radford University Forensic Science Institute,Radford University,University,37.137399,-80.55079,Dr. C. Cliff Boyd- Professor of Anthropology,N/A,clboyd@radford.edu,N/A,Radford University,P.O. Box 6939,Radford,24142,540-831-5948,N/A,Y,If they have fairly decent contextual information- if they were legally obtained- and if they would be useful in student instruction.,"Yes, Research",By appointment,The ceramics from several Late Woodland sites in Smyth and Montgomery Counties- 44MY1- 44MY3- 44MY37- and 44SM25- and 44SM31 The lithics from three Archaic sites in Floyd County- 44FD57- 44FD58- and 44FD61,,36,
George Washington's Birthplace National Monument,George Washington Birthplace National Monument (NPS),Federal Agency,38.1838501,-76.9201887,Rijk Morawe,N/A,rijk_morawe@nps.gov,N/A,Superintendent- Washington's Birthplace,1732 Popes Creek Road,Colonial Beach,22443,804-224-1732 x237,N/A,Y,Only archaeological material collected on park property,"Yes, Research",By appointment,The Henry Brooks collection and the John Washington collection in regards to early Virginia history.  Early 18th century with Augustine Washington/Austin Washington site.  The John Washington site could contribute depth to a Washington family plantation study.,,62,
"University of Virginia Library Harrison Institute of American History, Literature, and Culture",University of Virginia Library,University,38.051943,-78.510156,Karen Shriver,N/A,kem4h@virginia.edu,ks2kc@virginia.edu,,PO Box 400874,Charlottesville,22904-4784,434-924-6109,N/A,,,Yes,By appointment- open to the public for research and Uva faculty and students,Study- surface- and small finds- and museum exhibit collections are highlighted since they touch on areas of settlement patterns- cultural change through time- and adaptation and innovation from Paleo-Contact through the 19th century,Study- surface- and small finds- and museum exhibit collections are highlighted since they touch on areas of settlement patterns- cultural change through time- and adaptation and innovation from Paleo-Contact through the 19th century,64,
Fort Lee,Fort Lee,Federal Agency,37.2448705,-77.3441633,Amy Wood- Archaeologist/Collections Manager-Versar Inc.,Amanda Vtipil- Curator,amy.wood@us.army.mil,Amanda.vtipil@us.army.mil,Regional Archaeological Curation Facility,1816 Shop Road,Fort Lee,23801,804-734-4434 (o),804-734-4436,Y,As long as they are up to standards and from federal entities.  If the new collections are not up to standards- depositors can pay to have the collections prepared for curation by our staff.,"Yes, Research",By appointment,Here at the RACF we house over 300 boxes of artifacts totaling over one half million individual artifacts.  Many of the military installations whose artifacts we house are located in areas that have a rich archaeological history.  The sites we house range from early prehistoric camps to small domestic remains from the early 20th century.  Fort Lee's collection with the exception of two sites- 44PG316 and 44PG317 have not been extensively studied making the research potential high.,,118,
Mount Vernon,Mount Vernon,Private,38.71353419,-77.12962389,Esther White,N/A,ewhite@mountvernon.org,N/A,,PO Box 110 ,Mount Vernon,22121,703.799.8626,N/A,Y,Continually accessioning those from Mount Vernon's ongoing archaeology program.,Yes,By appointment,We highlight the overall Historic Mount Vernon site (44FX762 and 44FX763) the most- as well as the distillery (44FX2262).˜ Because there are so many specific areas within the 44FX762 and 763 site numbers- we highlight the House For Families slave quarter (762/40-47)- the South Grove trash midden (762/17)- the Upper Garden (762/43)- blacksmiths shop (762/12)- dung repository (762/15) and the orchard (763/4) as those with the most research potential.,,121,
Prince William County,Prince William County,Local Jurisdiction,38.568974,-77.323243,Sarah Nucci,,snucci@pwcgov.org,,,17674 Main Street,Dumfries,22026,703-792-5619,,Y,"When they are from Prince William County, VA and considered important. Often proffered with county zoning.",Yes,By appointment,"We have more than 150 collections, and I couldn't specify just one.",,179,
Jamestown Settlement and Yorktown Victory Center,Jamestown Settlement and Yorktown Victory Center,Other State Agency,37.2398976,-76.5188057,Roberto (Bobby) Grainger- Collections Manager,N/A,N/A,N/A,Jamestown-Yorktown Foundation,P.O. Box 1607,Williamsburg,23187-1607,757-253-4952,N/A,Y,,"Yes, Research",,"Jamestown's English origins, the early colonial period, the American Indian culture of southeastern Virginia and the African culture that arrived in Virginia in the 17th century, the American Revolution era, and the early years of the new nation.",,"179,000 archaeological artifacts at Jamestown Settlement and 1,270 at Yorktown Victory Center",
Fairfax County Park Authority,Fairfax County Park Authority,Local Jurisdiction,38.8742729,-77.1741441,Elizabeth Crowell,Aimee Wells,elizabeth.crowell@fairfaxcounty.gov,aimee.wells@fairfaxcounty.gov,James Lee Community Center,2855 Annandale Road,Falls Church,22042,703-534-3881 x402 (w),703-282-3833,Y,From Fairfax County,"Yes, Research",By appointment,Those resulting from Phase II data recoveries- those with documentation- we house collections from the following agencies for projects in Fairfax County: Bureau of Land Management- Fish and Wildlife- Virginia State Parks- Northern Virginia Regional Park Authority- Fort Belvoir.  We have collections from long-term projects such as Sully Historic Site- Mount Air- and many other projects which have been derived from National Register eligible or listed sites that highlight Virginia history.,,3 million artifacts from ~3600 sites stored in ~1000 boxes,
USDA Forest Service-George Washington and Jefferson National Forests,USDA Forest Service,Federal Agency,37.3334125,-79.9888075,Mike Madden,N/A,mjmadden@fs.fed.gov,N/A,,5261 Valleypointe Parkway,Roanoke,24019,540-265-5212,N/A,Y,Only collections excavated on George Washington and Jefferson National Forest land,N,Not at all,Late Woodland/Contact period site Keyser Farm (44PA1)  This collection is on loan at the DHR and currently accessible to researchers.,,"3,000 sites on record of which at least half have artifacts from Late Archaic to 20th century.  284 cubic feet of collections",
Virginia National Guard Artifact Curation Facility (Fort Pickett),Virginia National Guard Artifact Curation Facility/Ft. Picket,Federal Agency,37.049468,-77.946241,Beverly Boyko- Collections Manager,N/A,bboyko@vt.edu,beverly.boyko@us.army.mil,Virginia Army National Guard- VAFM-E Building 316- Fort Pickett,,Blackstone,23824,434-294-1866,N/A,Y,Everything collected during NHPA Section 106/110 activities sponsored by the VA Army Guard and all inadvertent discoveries on Fort Pickett or other VA Army Guard Facilities,"Yes, Research",M-F 7-3:30,There are currently 70-855 federally-owned objects in the collection from 313 sites from Brunswick- Dinwiddie- and Nottoway Counties.  The majority represent prehistoric campsites from the Archaic and Woodland periods.  Historic sites are primarily 19th and 20th centuries.  There are also several mill sites and cemeteries.,,313 sites,There are currently 77 boxes of artifacts and 4 oversized objects in the collection.  All collections have associated paper records and photos and most have associated electronic records and images.  We also house associated documents and photos for architectural survey projects which have no artifacts.
Alexandria Archaeology Museum,Alexandria Archaeology,Local Jurisdiction,38.804901,-77.039816,Pam Cressey- City Archaeologist,N/A,pamela.cressey@alexandria.gov,N/A,,105 N. Union Street #327,Alexandria,22314,703-746-4399,N/A,Y,"In theory only those related to Alexandria- but Code work is accepted on a case by case basis although it is eventually required to go to an ""appropriate"" facility",Yes,By appointment,Pottery sites- Sugar House- Urban African-American sites- Market Square Area-shaft feature,Pottery sites- Sugar House- Urban African-American sites- Market Square Area-shaft feature,3300 Cu feet of OHA and Alexandria sites,
Colonial Williamsburg Foundation,Colonial Williamsburg Foundation,Private,37.2707,-76.7078,Emily Williams- Conservator of Archaeological Materials,Kelly Ladd-Kostro,kladd@cwf.org,ewilliams@cwf.org,Department of Conservation Colonial Williamsburg Foundation,P.O. Box 1776,Williamsburg,23187-1776,757-220-7079 (Emily),757-220-7650 (Kelly),Y,New materials from Colonial Williamsburg's excavations are accepted as they are excavated.  Material from other archaeological sites is not added to the collection.,"Yes, Research",By appointment,The archaeological collection is the result of nearly 80 years of excavation in Colonial Williamsburg's Historic Area and its immediate surrounds.,Because of the collection's breadth- no one set of objects is highlighted for donors- the public or other visitors.  Different selections are made depending on the object's ability to inform the current research questions or the donor's/visitor's interests.,80 years of research and 60 million artifacts,
Mary Ball Washington Museum & Library,Mary Ball Washington Museum,Private,38.299974,-77.474891,Karen Hart- Executive Director,N/A,history@mbwm.org,N/A,Mary Ball Washington Museum & Library,P.O. Box 97,Lancaster,22503,804-462-7280,N/A,Y,Per collections policy and committee review,"Yes, Research",Very limited basis to qualified professionals for research,Don't know,Don't know,86 boxes with 39 identifiable collections and a variety of other miscellaneous material,
James Madison University,James Madison university,University,38.4401914,-78.87508,Clarence Geier- Professor- Program Head,Carole Nash,geiercr@jmu.edu,,,Dept. of Sociology and Anthropology- MSC 7501 Sheldon Hall- 800 S. Main St.,Harrisonburg,22807,(540) 568-6973,,,,,,,,approx. 36 collections in 591 boxes,
Virginia Commonwealth University,Virginia Commonwealth University,University,37.5498718,-77.4517911,Bernard Means- PhD,N/A,bkmeans@vcu.edu,N/A,Lafayette Hall,312 N. Shafer St.,Richmond,23220,804-827-1111 (o),N/A,N,N/A,"Yes, Research",By appointment,,,Hundreds,
Virginia Institute for Marine Science (VIMS),Virginia Institute for Marine Science,University,37.248889,-76.499488,Mike Kirshner (VIMS),Dee Deroche (DHR),kershner@vims.edu,dee.deroache@dhr.virginia.gov,,Rt. 1208 Greate Rd.,Gloucester Point,23062,804-684-7013 (VIMS),804-367-2323 x134 (Dee Deroche),Y,Associated with 106 projects on the VIMS campus,Yes,By appointment at DHR- not at all at VIMS,All collections related to excavations at Gloucestertown are significant in their potential to contribute towards the study of numerous themes associated with the prehistoric and historic periods.  A small sample of these include 18th-century urbanism- Revolutionary War and Civil War fortifications- and Early Woodlands encampments.,Efforts to synthesize over 40 years of excavations (salvage- survey- or full-scale mitigation in areas of proposed impact for building or infrastructure construction related to the campus) highlights the value of the collection,Many,Collections are held at VIMS and DHR- it is possible that the material at VIMS will be transferred to DHR
College of William and Mary,College of William and Mary,University,37.264739,-76.705043,Curt Moyer,,cxmoye@wm.edu,,Department of Anthropology College of William & Mary,,Williamsburg,23187-8795,,,,,,,,,many,collections amassed by Norm Barka and Ted Reinhart through contract or research archaeology; for much of Barka s stuff- they have everything but the artifacts and final reports
Washington and Lee University,Washington and Lee University,University,37.7879179,-79.4430285,Sean Deviln,N/A,devlins@wlu.edu,N/A,Department of Sociology and Anthropology- Washington and Lee University,315 Newcomb Hall,Lexington,24450,540-458-4635,757-784-7206,N,Only exceptions would be collections created through the university's spring archaeological dig classes- and extraordinary circumstances,"Yes, Research",By appointment,Rockbridge- campus archaeology of Washington and Lee-Liberty Hall excavations and main campus excavations- industrial mining communities of the 19th and early 20th centuries-Longsdale Mining Community- and the historic pottery industry of the Valley,68,,
Fort Monroe,Fort Monroe,Federal Agency,37.0077015,-76.3102641,Paul Presenza- Cultural Resources Specialist,N/A,paul.presenza@us.army.mil,N/A, ,318 Cornog Lane- Building 28,Fort Monroe,23651,757-788-5365 (o),N/A,N,N/A,"Yes, Research",By appointment,The collection's research potential has yet to be established,,,Closing 2011 and collections are transferring to Fort Lee
Bassett History Center,Bassett Historic Center,Private,36.766,-80.0001,Pat Ross- Branch Manager,,baslib@hotmail.com,historical@brrl.lib.va.us,Bassett Historical Center,3964 Fairystone Park Highway,Bassett,24055,276-629-9191,N/A,Y,Depending on what they are- on how much room they will need- we take into consideration what the donor wants for the collection,Yes,At all times,We have a large display case of artifacts that were taken from sites in Henry County- Virginia during the 1970s.  The artifacts are not specified as to which site-  All are surface finds.,All,,
