"Name","Type","Contact","Secondary Contact Person","email","Building","Address1","City","Zip Code","Phone","Accept_Coll","Accept_Criteria","Public","Research","Availibility","HowMany"
"Anthony A. Burke","Private","Anthony A. Burke",,"aaburke19@aol.com","N/A","5303 Matoaka Road","Richmond",23226,"804-673-9706 (h)","N","N/A",,"Research","By appointment",1
"Thomas Jefferson's Poplar Forest","Private","Lori Lee","N/A","lori@poplarforest.org","The Corporation for Jefferson's Poplar Forest","P.O. Box 419","Forest","24551-0419","434-534-8104","N","N/A",,"Research","By appointment",22
"Avoca Museum","Private","Frank Murray, Director","N/A",,,"1514 Main Street","Altavista",24517,"434-369-1076","N","N/A",,"Research","By appointment",1
"Historic Christ Church Foundation","Private","Robert Teagle, Education Director and Curator","N/A","rteagle@christchurch1735.org",,"P.O. Box 24","Irvington",22480,"804-438-6855","Y","Only those related to historic Christ Church",,"Public, Research","By appointment",1
"Wilton House Museum","Private","William Strollo","Dana Hand Evans, Executive Director","wiltonmuseum@comcast.net",,"215 S. Wilton Road","Richmond",23226,"804-282-5936 x2 (William Stollo)","N","N/A",,"Public, Research","At all times",1
"Red Hill","Private","Karen Gorham","Gene Dixon, Jr., President",,,"1250 Red Hill Road","Brookneal","24528-3302","800-514-7463","N","N/A",,"Public, Research","By appointment",5
"Historic Mount Vernon","Private","Esther White","N/A","ewhite@mountvernon.org",,"PO Box 110 ","Mount Vernon",22121,"703.799.8626","Y","Continually accessioning those from Mount Vernon's ongoing archaeology program.",,"Yes","By appointment",121
"Old Jail Museum","Private","Frances A. R. Allshouse","N/A","oldjailmuseum@rcn.com",,"P.O. Box 675","Warrenton",20188,"540-347-5525","Y","New collections are accepted as gifts or loans.  Loans may be indefinate or for a specified period.",,"Public, Research","By appointment",2
"Colonial Williamsburg Foundation","Private","Emily Williams, Conservator of Archaeological Materials","Kelly Ladd-Kostro","kladd@cwf.org","Department of Conservation Colonial Williamsburg Foundation","P.O. Box 1776","Williamsburg","23187-1776","757-220-7079 (Emily)","Y","New materials from Colonial Williamsburg's excavations are accepted as they are excavated.  Material from other archaeological sites is not added to the collection.",,"Research","By appointment","80 years of research and 60 million artifacts"
"Newton History Center of The Stone House Foundation","Private","Byron Smith, Director/Curator","Wayne Eldred, Collections and Programs Manager","bcsmith@newtonhistorycenter.org","Newton History Center of The Stone House Foundation","P.O. Box 143/5408 Main Street","Stephens City","22655-0143","540-869-1700","Y ","Donation, Museum Purchase",,"Research","By appointment",3
"Monticello/Digital Archaeological Archive of Comparative Slavery","Private","Jilian Galle","N/A","jgalle@monticello.org",,"P.O. Box 316","Charlottesville",22902,"N/A","Y for a limited amount of time as DAACS has no permanent collections","N/A",,"Research","By appointment while they are at Monticello and with the agreement of the curating institution. ",7
"Mary Ball Washington Museum & Library","Private","Karen Hart, Executive Director","N/A","history@mbwm.org","Mary Ball Washington Museum & Library","P.O. Box 97","Lancaster",22503,"804-462-7280","Y","Per collections policy and committee review",,"Research","Very limited basis to qualified professionals for research","86 boxes with 39 identifiable collections and a variety of other miscallenous material"
"George Washington Foundation, Ferry Farm","Private","Melanie Marquis","N/A","healy-marquis@gwffoundation.org",,"268 Kings Highway","Fredericksburg",22405,"540-370-0732 x14","N","N/A",,"Research","At all times, appointment preferred",6
"Cape Charles Museum and Welcome Center","Private","Marion Naar","N/A","ccmuseum@hughes.net",,"P.O. Box 11","Cape Charles","23310-2763","757-331-1008","Y","Pertinent to local history",,"Research","By appointment",2
"Stratford Hall Plantation","Private","Judy Hynson, Director of Research and Library Collections","Gretchen Goodell, Curator","jshynson@stratfordhall.org",,"483 Great House Road","Stratford",22558,"804-493-8038 x8572 (Judy)","Y","Based on the collection policy in CMP",,"Research","By appointment",3
"Mariners' Museum","Private","Jeanne Willoz-Egnor","N/A","jegnor@marinersmuseum.org",,"100 Museums Drive","Newport News","23606-3759","757-591-7764","Y","New materials recovered from the Monitor National Marine Sanctuary are added to the collection",,"Public, Research","By appointment",4
"Monticello","Private","Karen Smith","N/A","ksmith@monticello.org","Thomas Jefferson Foundation","P.O. Box 316","Charlottesville",22902,"434-984-9871","Y","Collections made during fieldwork at Monticello or on other properties owned by the Thomas Jefferson Foundation",,"Research","By appointment",6
"Bassett History Center","Private","Pat Ross, Branch Manager",,"baslib@hotmail.com","Bassett Historical Center","3964 Fairystone Park Highway","Bassett",24055,"276-629-9191","Y","Depending on what they are, on how much room they will need, we take into consideration what the donor wants for the collection",,"Public, research","At all times",
"Museum of Culpeper History","Private","Lee Langston-Harrison, Executive Director","N/A","director@culpepermuseum.com","Museum of Culpeper History","803 South Main Street/P.O. Box 951","Culpeper",22701,"540-829-1749 (museum)","Y","Relates to Culpeper or its immediate region; has some relation to the present theme of study (i.e. 150th anniversary of the American Civil War)",,"Research","By appointment",3
"Montpelier Foundation","Private","Matt Reeves","N/A","mreeves@montpelier.org","James Madison's Montpelier","P.O. Box 67/13384 Laundry Road","Montpelier Station",22957,"540-672-2728 x160","Y","Objects excavated fomr the property, collections donated by relic hunters who frequented the property in pre-Trust days (pre 1984)",,"Public, Research","At all times",12
"Jamestown Rediscovery Preservation Virginia","Private","Bly Straube, Senior Archaeological Curator","N/A","bstraube@preservationvirginia.org","Historic Jamestowne","1365 Colonial Parkway","Jamestown",23081,"757-229-4997",,,,"Public, Research","By appointment on a case-by-case basis",10
"Fairfield Foundation","Private","David Brown, Co-Director","Thane Harpole, Co-Director","fairfield@inna.net",,"P.O. Box 157","White Marsh",22183,"804-694-4775",,,,,,
"Chesterfield Museum Complex","Private","Diane Dallmeyer, Adminsitrative Assistant","N/A","admin@chesterfieldhistory.com","Chesterfield Historical Society of VA","P.O. Box 40/10201 Iron Bridge Road","Chesterfield",23832,"804-796-7121",,,,,,
"Glencoe Museum","Private",,,"info@glencoemuseum.org",,"600 Unruh Drive","Radford",24143,"540-731-5031",,,,,,
"Historic Smithfield Plantation","Private","Laura Wedin","W. David McKissack, Director","lwedin@vt.edu",,"100 Smithfield Plantation Road","Blacksburg",24060,"540-231-3947",,,,,,3
"Wilderness Road Regional Museum","Private","Tami Ramsey, Director","N/A","N/A",,"5240 Wilderness Road/P.O. Box 373","Newbern",24126,"540-674-4835",,,,,,2
"Pamplin Historical Park and National Museum","Private",,,"generalmailbox@pamplinpark.com"," ","6125 Boydton Plank Road","Petersburg",23803,"804-681-2408",,,,,,
"Virginia Commonwealth University","University","Bernard Means, PhD","N/A","bkmeans@vcu.edu","Lafayette Hall","312 N. Shafer St.","Richmond",23220,"804-827-1111 (o)","N","N/A",,"Research","By appointment","Hundreds"
"Washington and Lee University","University","Sean Deviln","N/A","devlins@wlu.edu","Department of Sociology and Anthropology, Washington and Lee University","315 Newcomb Hall","Lexington",24450,"540-458-4635","N","Only exceptions would be collections created through the university's spring archaeological dig classes, and extraordinary circumstances",,"Research","By appointment",
"Radford University Forensic Science Institute","University","Dr. C. Cliff Boyd, Professor of Anthropology","N/A","clboyd@radford.edu","Radford University","P.O. Box 6939","Radford",24142,"540-831-5948","Y","If they have fairly decent contextual information, if they were legally obtained, and if they would be useful in student instruction.",,"Research","By appointment",36
"Virginia Institute for Marine Science (VIMS)","University","Mike Kirshner (VIMS)","Dee DeRoache (DHR)","kershner@vims.edu",,"Rt. 1208 Greate Rd.","Gloucester Point",23062,"804-684-7013 (VIMS)","Y","Associated with 106 projects on the VIMS campus",,"Public, Research","By appointment at DHR, not at all at VIMS","Many"
"George Mason University","University","Alex Benitez","n/a","abenitez@gmu.edu",,"4400 University Drive, 3G5","Fairfax",22030,,"N",,,,"by appointment",
"Sweet Briar College","University","Keith Adams",,"kadams@sbc.edu",,"134 Chapel Road","Sweet Briar",24595,"434 381 6100","n",,,"y","by appointment",3
"College of William and Mary","University","Dr. Martin Gallivan","[Bob Ripley landowner of Werowocomoco]","mdgall@wm.edu","Department of Anthropology College of William & Mary"," ","Williamsburg","23187-8795","757-221-3622 (Gallivan)","Y","Only those related to Werowocomoco",,"Research","By appointment",1
"University of Mary Washington","University","Douglas Sanford",,"dsanford@umw.edu",,"Department of Historic Preservation ","Fredericksburg","22401-5300","540-654-1314",,,,,,51
"James Madison University","University","Clarence Geier, Professor, Program Head","Carole Nash","geiercr@jmu.edu",,"Dept. of Sociology and Anthropology, MSC 7501 Sheldon Hall, 800 S. Main St.","Harrisonburg",22807,"(540) 568-6973",,,,,,"approx. 36 collections in 591 boxes"
"University of Kentucky","University","Maureen Meyers","N/A","maureen.meyers@uky.edu","University of Kentucky, Department of Anthropology  ","211 Lafferty Hall","Lexington, KY",40506,"859-257-2710","Y","Usually, only Kentucky state collections or collections excavated by University of Kentucky staff, faculty, or students",,"Research","By appointment",1
"University of Virginia Library Harrison Institute of American History, Literature, and Culture","University","Karen Shriver","N/A","kem4h@virginia.edu",,"PO Box 400874","Charlottesville","22904-4784","434-924-6109",,,,"Public, Research","By appointment, open to the public for research and Uva faculty and students",64
"College of William and Mary","University","Curt Moyer",,"cxmoye@wm.edu","Department of Anthropology College of William & Mary",,"Williamsburg","23187-8795",,,,,,,"many"
